Order,Video,time_s,time_e,,hand gesture,,video editing,,time adjustment,
,,11:15,11:23,Y,pointing,Y,labeling,,,
,,11:26,11:34,Y,moving,,,,,
,,11:52,11:53,Y,pointing,Y,labeling,,,
,,11:53,12:00,Y,moving,,,,,
,,12:23,12:31,Y,pointing,Y,labeling,,,
,,12:31,12:36,,,Y,labeling,Y,go backward,
,,12:36,12:39,,,Y,tracing,Y,move fast,
,,12:39,12:50,,,Y,labeling,,,
,,12:50,12:52,Y,shaping,,,,,
,,12:52,12:56,,,Y,labeling,,,
,,12:56,14:11,Y,pointing,Y,labeling,,,
-1,"Asia's rise -- how and when | Hans Rosling;TED, Nov 25, 2009",5:25,15:45,,,Y,labeling,,,https://www.youtube.com/watch?v=fiK5-oAaeUs&t=816s
,,5:25,5:31,Y,pointing,Y,labeling,,,
,,6:00,6:05,Y,pointing,Y,labeling,,,
,,6:10,6:12,Y,pointing,Y,labeling,,,
,,6:21,6:27,Y,moving,Y,labeling,,,
,,6:30,6:33,Y,moving,Y,labeling,,,
,,6:33,6:38,Y,pointing,Y,labeling,,,
,,6:43,6:52,Y,moving,Y,labeling,,,
,,6:55,7:10,,,Y,labeling,Y,pause,
,,7:12,7:22,,,Y,labeling,Y,pause,
,,7:32,7:47,Y,moving,Y,labeling,,,
,,7:47,8:07,,,Y,labeling,Y,pause,
,,8:13,8:25,Y,moving,Y,labeling,,,
,,8:33,8:34,Y,pointing,Y,labeling,,,
,,8:43,11:15,,,,,Y,pause,
,,8:51,9:01,Y,pointing,Y,labeling,,,
,,9:30,9:38,Y,pointing,Y,labeling,,,
,,10:06,10:07,Y,pointing,Y,labeling,,,
,,10:20,10:22,Y,pointing,Y,labeling,,,
,,10:48,10:51,Y,pointing,Y,labeling,,,
,,10:58,11:08,Y,moving,Y,labeling,,,
,,11:26,11:30,Y,pointing,Y,labeling,,,
,,11:33,11:38,,,Y,tracing,Y,move fast,
,,11:38,11:55,Y,moving,Y,tracing,Y,move fast,
,,12:10,12:23,Y,pointing,Y,labeling,,,
,,12:23,12:30,Y,moving,Y,labeling,,,
,,12:35,12:46,,,Y,tracing,,,
,,12:49,12:55,Y,moving,Y,labeling,,,
,,15:06,15:13,Y,pointing,Y,labeling,,,
-1,"Hans Rosling on HIV: New facts and stunning data visuals;TED, May 13, 2009",0:43,4:38,,,Y,labeling,,,https://www.youtube.com/watch?v=3qRtDnsnSwk
,,0:43,0:45,Y,moving,Y,labeling,,,
,,0:45,0:52,Y,shaping,Y,labeling,,,
,,1:01,1:05,Y,shaping,Y,labeling,,,
,,1:07,1:10,Y,pointing,Y,labeling,,,
